Time,ThermostatTargetTemperature,LivingroomTemperatureFault,LivingroomTemperatureBase
0.1,20.5,16.999146,16.999146
5,20.5,16.961144,16.961144
10,20.5,16.922466,16.922466
15,20.5,16.883891,16.883891
20,20.5,16.845493,16.845493
25,20.5,16.807119,16.807119
30,20.5,16.768845,16.768845
30.1,20.5,16.768845,16.768845
30.2,20.5,16.767316,16.767316
35.2,20.5,16.729147,16.729147
40.2,20.5,16.691078,16.691078
45.2,20.5,16.653032,16.653032
50.2,20.5,16.615162,16.615162
55.2,20.5,16.577392,16.577392
60.1,20.5,16.577392,16.577392
60.2,20.5,16.608661,16.608661
65.2,20.5,16.639871,16.639871
70.2,20.5,16.670999,16.670999
75.2,20.5,16.701984,16.701984
80.2,20.5,16.73295,16.73295
85.2,20.5,16.763834,16.763834
90.1,20.5,16.763834,16.763834
90.2,20.5,16.794638,16.794638
95.2,20.5,16.82536,16.82536
100.2,20.5,16.856003,16.856003
105.2,20.5,16.886565,16.886565
110.2,20.5,16.917047,16.917047
115.2,20.5,16.947449,16.947449
120.1,20.5,16.947449,16.947449
120.2,20.5,16.977771,16.977771
125.2,20.5,17.008014,17.008014
130.2,20.5,17.038178,17.038178
135.2,20.5,17.068262,17.068262
140.2,20.5,17.098268,17.098268
145.2,20.5,17.128195,17.128195
150.1,20.5,17.128195,17.128195
150.2,20.5,17.158044,17.158044
155.2,20.5,17.187815,17.187815
160.2,20.5,17.217567,17.217567
165.2,20.5,17.247181,17.247181
170.2,20.5,17.276718,17.276718
175.2,20.5,17.306178,17.306178
180.1,20.5,17.306178,17.306178
180.2,20.5,17.335561,17.335561
185.2,20.5,17.364866,17.364866
190.2,20.5,17.394095,17.394095
195.2,20.5,17.423247,17.423247
200.2,20.5,17.452323,17.452323
205.2,20.5,17.481322,17.481322
210.1,20.5,17.481322,17.481322
210.2,20.5,17.510246,17.510246
215.2,20.5,17.539093,17.539093
220.2,20.5,17.567866,17.567866
225.2,20.5,17.596562,17.596562
230.2,20.5,17.625184,17.625184
235.2,20.5,17.65373,17.65373
240.1,20.5,17.65373,17.65373
240.2,20.5,17.682202,17.682202
245.2,20.5,17.7106,17.7106
250.2,20.5,17.738922,17.738922
255.2,20.5,17.767171,17.767171
260.2,20.5,17.795345,17.795345
265.2,20.5,17.823446,17.823446
270.1,20.5,17.823446,17.823446
270.2,20.5,17.851473,17.851473
275.2,20.5,17.879427,17.879427
280.2,20.5,17.907307,17.907307
285.2,20.5,17.935115,17.935115
290.2,20.5,17.962849,17.962849
295.2,20.5,17.990511,17.990511
300.1,20.5,17.990511,17.990511
300.2,20.5,17.94916,18.018101
305.2,20.5,17.907894,18.045618
310.2,20.5,17.866736,18.073063
315.2,20.5,17.825686,18.100436
320.2,20.5,17.784744,18.127737
325.2,20.5,17.743908,18.154967
330.1,20.5,17.743908,18.154967
330.2,20.5,17.70318,18.182125
335.2,20.5,17.662559,18.209213
340.2,20.5,17.622044,18.236229
345.2,20.5,17.581635,18.263174
350.2,20.5,17.541332,18.290049
355.2,20.5,17.501135,18.316854
360.1,20.5,17.501135,18.316854
360.2,20.5,17.461043,18.343588
365.2,20.5,17.421056,18.370252
370.2,20.5,17.381173,18.396847
375.2,20.5,17.341396,18.423371
380.2,20.5,17.301722,18.449827
385.2,20.5,17.262153,18.476213
390.1,20.5,17.262153,18.476213
390.2,20.5,17.222687,18.502529
395.2,20.5,17.183324,18.528777
400.2,20.5,17.144065,18.554956
405.2,20.5,17.104909,18.581066
410.2,20.5,17.065855,18.607108
415.2,20.5,17.026903,18.633082
420.1,20.5,17.026903,18.633082
420.2,20.5,16.988054,18.658988
425.2,20.5,16.949306,18.684826
430.2,20.5,16.91066,18.710596
435.2,20.5,16.872115,18.736298
440.2,20.5,16.833671,18.761934
445.2,20.5,16.795328,18.787502
450.1,20.5,16.795328,18.787502
450.2,20.5,16.757085,18.813003
455.2,20.5,16.718943,18.838437
460.2,20.5,16.6809,18.863805
465.2,20.5,16.642958,18.889106
470.2,20.5,16.605114,18.914341
475.2,20.5,16.56737,18.93951
480.1,20.5,16.56737,18.93951
480.2,20.5,16.598665,18.964612
485.2,20.5,16.629901,18.989649
490.2,20.5,16.661056,19.014621
495.2,20.5,16.692129,19.039527
500.2,20.5,16.72312,19.064368
505.2,20.5,16.75403,19.089143
510.1,20.5,16.75403,19.089143
510.2,20.5,16.78486,19.113854
515.2,20.5,16.815608,19.1385
520.2,20.5,16.846276,19.163081
525.2,20.5,16.876863,19.187598
530.2,20.5,16.907371,19.212051
535.2,20.5,16.937798,19.23644
540.1,20.5,16.937798,19.23644
540.2,20.5,16.968146,19.260765
545.2,20.5,16.998414,19.285026
550.2,20.5,17.028603,19.309223
555.2,20.5,17.058713,19.333357
560.2,20.5,17.088743,19.357428
565.2,20.5,17.118696,19.381436
570.1,20.5,17.118696,19.381436
570.2,20.5,17.148569,19.405381
575.2,20.5,17.178365,19.429263
580.2,20.5,17.208082,19.453082
585.2,20.5,17.237722,19.47684
590.2,20.5,17.267283,19.500534
595.2,20.5,17.296768,19.524167
600.1,20.5,17.296768,19.524167
600.2,20.5,17.326175,19.547738
605.2,20.5,17.355505,19.571247
610.2,20.5,17.384758,19.594695
615.2,20.5,17.413935,19.618081
620.2,20.5,17.443035,19.641406
625.2,20.5,17.472059,19.664669
630.1,20.5,17.472059,19.664669
630.2,20.5,17.501006,19.687872
635.2,20.5,17.529878,19.711014
640.2,20.5,17.558675,19.734095
645.2,20.5,17.587396,19.757116
650.2,20.5,17.616041,19.780077
655.2,20.5,17.644612,19.802977
660.1,20.5,17.644612,19.802977
660.2,20.5,17.673108,19.825817
665.2,20.5,17.701529,19.848598
670.2,20.5,17.729875,19.871319
675.2,20.5,17.758147,19.89398
680.2,20.5,17.786346,19.916582
685.2,20.5,17.81447,19.939125
690.1,20.5,17.81447,19.939125
690.2,20.5,17.842521,19.961608
695.2,20.5,17.870498,19.984033
700.2,20.5,17.898402,20.006399
705.2,20.5,17.926232,20.028706
710.2,20.5,17.95399,20.050955
715.2,20.5,17.981675,20.073146
720.1,20.5,17.981675,20.073146
720.2,20.5,18.009288,20.095278
725.2,20.5,18.036828,20.117353
730.2,20.5,18.064296,20.139369
735.2,20.5,18.091692,20.161328
740.2,20.5,18.119016,20.183229
745.2,20.5,18.146269,20.205073
750.1,20.5,18.146269,20.205073
750.2,20.5,18.17345,20.22686
755.2,20.5,18.20056,20.24859
760.2,20.5,18.227599,20.270263
765.2,20.5,18.254567,20.291879
770.2,20.5,18.281465,20.313438
775.2,20.5,18.308292,20.334941
780.1,20.5,18.308292,20.334941
780.2,20.5,18.335048,20.356387
785.2,20.5,18.361735,20.377778
790.2,20.5,18.388352,20.399112
795.2,20.5,18.414899,20.42039
800.2,20.5,18.441376,20.441613
805.2,20.5,18.467784,20.46278
810.1,20.5,18.467784,20.46278
810.2,20.5,18.494123,20.483891
815.2,20.5,18.520393,20.504948
820.2,20.5,18.546594,20.525949
825.2,20.5,18.572726,20.546895
830.2,20.5,18.59879,20.567786
835.2,20.5,18.624785,20.588622
840.1,20.5,18.624785,20.588622
840.2,20.5,18.650713,20.609404
845.2,20.5,18.676572,20.630131
850.2,20.5,18.702364,20.650804
855.2,20.5,18.728088,20.671423
860.2,20.5,18.753745,20.691988
865.2,20.5,18.779335,20.712499
870.1,20.5,18.779335,20.712499
870.2,20.5,18.804857,20.732956
875.2,20.5,18.830313,20.75336
880.2,20.5,18.855702,20.77371
885.2,20.5,18.881024,20.794007
890.2,20.5,18.90628,20.81425
895.2,20.5,18.93147,20.834441
900.1,20.5,18.93147,20.834441
900.2,20.5,18.956594,20.854579
905.2,20.5,18.981652,20.874664
910.2,20.5,19.006644,20.894696
915.2,20.5,19.031571,20.914676
920.2,20.5,19.056433,20.934603
925.2,20.5,19.081229,20.954479
930.1,20.5,19.081229,20.954479
930.2,20.5,19.105961,20.905361
935.2,20.5,19.130627,20.856349
940.2,20.5,19.155229,20.807466
945.2,20.5,19.179767,20.758711
950.2,20.5,19.20424,20.710083
955.2,20.5,19.228649,20.661583
960.1,20.5,19.228649,20.661583
960.2,20.5,19.252995,20.61321
965.2,20.5,19.277276,20.564964
970.2,20.5,19.301494,20.516844
975.2,20.5,19.325648,20.46885
980.2,20.5,19.349739,20.420982
985.2,20.5,19.373767,20.373239
990.1,20.5,19.373767,20.373239
990.2,20.5,19.397732,20.325622
995.2,20.5,19.421634,20.278129
1000.2,20.5,19.445474,20.230761
1005.2,20.5,19.469251,20.183516
1010.2,20.5,19.492966,20.136396
1015.2,20.5,19.516618,20.089399
1020.1,20.5,19.516618,20.089399
1020.2,20.5,19.540209,20.042525
1025.2,20.5,19.563738,19.995774
1030.2,20.5,19.587205,19.949146
1035.2,20.5,19.610611,19.902639
1040.2,20.5,19.633955,19.856255
1045.2,20.5,19.657238,19.809992
1050.1,20.5,19.657238,19.809992
1050.2,20.5,19.68046,19.832791
1055.2,20.5,19.703622,19.855553
1060.2,20.5,19.726722,19.878256
1065.2,20.5,19.749763,19.900899
1070.2,20.5,19.772742,19.923483
1075.2,20.5,19.795662,19.946007
1080.1,20.5,19.795662,19.946007
1080.2,20.5,19.818521,19.968473
1085.2,20.5,19.841321,19.99088
1090.2,20.5,19.864061,20.013228
1095.2,20.5,19.886741,20.035517
1100.2,20.5,19.909362,20.057748
1105.2,20.5,19.931924,20.079921
1110.1,20.5,19.931924,20.079921
1110.2,20.5,19.954426,20.102036
1115.2,20.5,19.97687,20.124092
1120.2,20.5,19.999254,20.146091
1125.2,20.5,20.02158,20.168033
1130.2,20.5,20.043848,20.189917
1135.2,20.5,20.066057,20.211743
1140.1,20.5,20.066057,20.211743
1140.2,20.5,20.088208,20.233512
1145.2,20.5,20.110301,20.255225
1150.2,20.5,20.132336,20.27688
1155.2,20.5,20.154314,20.298479
1160.2,20.5,20.176233,20.320021
1165.2,20.5,20.198096,20.341506
1170.1,20.5,20.198096,20.341506
1170.2,20.5,20.219901,20.362935
1175.2,20.5,20.241649,20.384309
1180.2,20.5,20.26334,20.405626
1185.2,20.5,20.284974,20.426887
1190.2,20.5,20.306551,20.448093
1195.2,20.5,20.328072,20.469243
1200.1,20.5,20.328072,20.469243
1200.2,20.5,20.349537,20.490337
1205.2,20.5,20.370945,20.511377
1210.2,20.5,20.392297,20.532361
1215.2,20.5,20.413593,20.55329
1220.2,20.5,20.434834,20.574164
1225.2,20.5,20.456018,20.594984
1230.1,20.5,20.456018,20.594984
1230.2,20.5,20.477148,20.615749
1235.2,20.5,20.498222,20.63646
1240.2,20.5,20.51924,20.657116
1245.2,20.5,20.540204,20.677719
1250.2,20.5,20.561112,20.698267
1255.2,20.5,20.581966,20.718761
1260.1,20.5,20.581966,20.718761
1260.2,20.5,20.602766,20.739202
1265.2,20.5,20.62351,20.75959
1270.2,20.5,20.644201,20.779923
1275.2,20.5,20.664837,20.800204
1280.2,20.5,20.685419,20.820431
1285.2,20.5,20.705947,20.840606
1290.1,20.5,20.705947,20.840606
1290.2,20.5,20.726422,20.860727
1295.2,20.5,20.746842,20.880796
1300.2,20.5,20.76721,20.900812
1305.2,20.5,20.787523,20.920776
1310.2,20.5,20.807784,20.940688
1315.2,20.5,20.827992,20.960547
1320.1,20.5,20.827992,20.960547
1320.2,20.5,20.848146,20.911414
1325.2,20.5,20.868248,20.862386
1330.2,20.5,20.888297,20.813487
1335.2,20.5,20.908294,20.764716
1340.2,20.5,20.928238,20.716072
1345.2,20.5,20.94813,20.667557
1350.1,20.5,20.94813,20.667557
1350.2,20.5,20.899029,20.619168
1355.2,20.5,20.850034,20.570906
1360.2,20.5,20.801167,20.52277
1365.2,20.5,20.752428,20.474761
1370.2,20.5,20.703817,20.426878
1375.2,20.5,20.655333,20.37912
1380.1,20.5,20.655333,20.37912
1380.2,20.5,20.606977,20.331487
1385.2,20.5,20.558747,20.283979
1390.2,20.5,20.510643,20.236595
1395.2,20.5,20.462666,20.189335
1400.2,20.5,20.414814,20.1422
1405.2,20.5,20.367087,20.095188
1410.1,20.5,20.367087,20.095188
1410.2,20.5,20.319486,20.048299
1415.2,20.5,20.272009,20.001532
1420.2,20.5,20.224657,19.954889
1425.2,20.5,20.177429,19.908368
1430.2,20.5,20.130324,19.861968
1435.2,20.5,20.083343,19.81569
1440.1,20.5,20.083343,19.81569
1440.2,20.5,20.036485,19.838474
1445.2,20.5,19.98975,19.861222
1450.2,20.5,19.943137,19.883909
1455.2,20.5,19.896647,19.906538
1460.2,20.5,19.850278,19.929107
1465.2,20.5,19.804031,19.951616
1470.1,20.5,19.804031,19.951616
1470.2,20.5,19.757905,19.974067
1475.2,20.5,19.711899,19.996459
1480.2,20.5,19.666015,20.018793
1485.2,20.5,19.62025,20.041068
1490.2,20.5,19.574606,20.063284
1495.2,20.5,19.529081,20.085442
1500.1,20.5,19.529081,20.085442
1500.2,20.5,19.552616,20.107543
1505.2,20.5,19.576112,20.129585
1510.2,20.5,19.599547,20.15157
1515.2,20.5,19.62292,20.173497
1520.2,20.5,19.646232,20.195366
1525.2,20.5,19.669484,20.217178
1530.1,20.5,19.669484,20.217178
1530.2,20.5,19.692674,20.238933
1535.2,20.5,19.715803,20.260631
1540.2,20.5,19.738872,20.282273
1545.2,20.5,19.76188,20.303857
1550.2,20.5,19.784828,20.325385
1555.2,20.5,19.807716,20.346856
1560.1,20.5,19.807716,20.346856
1560.2,20.5,19.830544,20.368272
1565.2,20.5,19.853312,20.389631
1570.2,20.5,19.876021,20.410934
1575.2,20.5,19.898669,20.432182
1580.2,20.5,19.921259,20.453373
1585.2,20.5,19.94379,20.474509
1590.1,20.5,19.94379,20.474509
1590.2,20.5,19.966261,20.49559
1595.2,20.5,19.988673,20.516616
1600.2,20.5,20.011027,20.537586
1605.2,20.5,20.033322,20.558502
1610.2,20.5,20.055559,20.579362
1615.2,20.5,20.077738,20.600169
1620.1,20.5,20.077738,20.600169
1620.2,20.5,20.099858,20.62092
1625.2,20.5,20.121921,20.641617
1630.2,20.5,20.143925,20.66226
1635.2,20.5,20.165872,20.682849
1640.2,20.5,20.187762,20.703384
1645.2,20.5,20.209594,20.723865
1650.1,20.5,20.209594,20.723865
1650.2,20.5,20.231369,20.744292
1655.2,20.5,20.253087,20.764666
1660.2,20.5,20.274748,20.784987
1665.2,20.5,20.296352,20.805254
1670.2,20.5,20.317899,20.825468
1675.2,20.5,20.339391,20.84563
1680.1,20.5,20.339391,20.84563
1680.2,20.5,20.360825,20.865738
1685.2,20.5,20.382204,20.885794
1690.2,20.5,20.403527,20.905797
1695.2,20.5,20.424794,20.925748
1700.2,20.5,20.446005,20.945646
1705.2,20.5,20.46716,20.965492
1710.1,20.5,20.46716,20.965492
1710.2,20.5,20.48826,20.916346
1715.2,20.5,20.509305,20.867305
1720.2,20.5,20.530295,20.818393
1725.2,20.5,20.551229,20.769609
1730.2,20.5,20.572109,20.720953
1735.2,20.5,20.592934,20.672425
1740.1,20.5,20.592934,20.672425
1740.2,20.5,20.613705,20.624023
1745.2,20.5,20.634421,20.575749
1750.2,20.5,20.655082,20.5276
1755.2,20.5,20.67569,20.479578
1760.2,20.5,20.696244,20.431682
1765.2,20.5,20.716744,20.383912
1770.1,20.5,20.716744,20.383912
1770.2,20.5,20.73719,20.336266
1775.2,20.5,20.757582,20.288746
1780.2,20.5,20.777921,20.241349
1785.2,20.5,20.798207,20.194077
1790.2,20.5,20.81844,20.146929
1795.2,20.5,20.838619,20.099905
1800.1,20.5,20.838619,20.099905
1800.2,20.5,20.858746,20.053003
1805.2,20.5,20.87882,20.006225
